epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,6128.31,0.91714,0.81827,1.07495,0.85748,0.79172,0.85055,0.68606,0.82233,0.60989,0.97202,7.42322e-05,7.42322e-05,7.42322e-05
40,6278.34,0.89421,0.79554,1.06913,0.86511,0.79514,0.85148,0.68444,0.81816,0.60331,0.97038,7.30541e-05,7.30541e-05,7.30541e-05
41,6440.82,0.86785,0.76229,1.02888,0.87443,0.77548,0.85173,0.69047,0.81619,0.59689,0.96934,7.1876e-05,7.1876e-05,7.1876e-05
42,6618.27,0.92343,0.7927,1.06175,0.86545,0.77271,0.85284,0.69319,0.81428,0.59525,0.96844,7.06979e-05,7.06979e-05,7.06979e-05
43,6779.67,0.94911,0.80942,1.06965,0.87324,0.77627,0.85371,0.69572,0.80937,0.59361,0.9659,6.95198e-05,6.95198e-05,6.95198e-05
44,6949.77,0.92796,0.81227,1.08148,0.88432,0.78926,0.85719,0.69621,0.80411,0.59452,0.96283,6.83417e-05,6.83417e-05,6.83417e-05
45,7119.81,0.92506,0.77824,1.06016,0.88297,0.79003,0.85283,0.69487,0.79839,0.59241,0.96045,6.71636e-05,6.71636e-05,6.71636e-05
46,7285.03,0.90415,0.7701,1.04359,0.89265,0.78762,0.86411,0.70116,0.79216,0.58881,0.95802,6.59855e-05,6.59855e-05,6.59855e-05
47,7442.41,0.88606,0.76793,1.0644,0.89193,0.7915,0.86679,0.70652,0.78621,0.5839,0.95603,6.48074e-05,6.48074e-05,6.48074e-05
48,7605.44,0.88546,0.76397,1.06048,0.89689,0.78117,0.86924,0.71121,0.78121,0.5794,0.9541,6.36293e-05,6.36293e-05,6.36293e-05
49,7781.96,0.91875,0.78542,1.04786,0.88078,0.78581,0.87032,0.7124,0.7801,0.57744,0.95402,6.24512e-05,6.24512e-05,6.24512e-05
50,7939.96,0.92878,0.74996,1.05866,0.88813,0.78239,0.87154,0.71226,0.78032,0.57833,0.95431,6.12731e-05,6.12731e-05,6.12731e-05
51,8104,0.88578,0.77484,1.06138,0.89446,0.78428,0.8727,0.71526,0.78014,0.5777,0.95407,6.0095e-05,6.0095e-05,6.0095e-05
52,8274.96,0.95109,0.76764,1.07417,0.88907,0.77938,0.87012,0.71214,0.78081,0.5773,0.95426,5.89169e-05,5.89169e-05,5.89169e-05
53,8439.67,0.88174,0.71608,1.0481,0.88822,0.78905,0.86923,0.71,0.78107,0.57742,0.95425,5.77388e-05,5.77388e-05,5.77388e-05
54,8592.4,0.90008,0.7634,1.06231,0.87355,0.79896,0.86821,0.71116,0.78076,0.57569,0.95407,5.65607e-05,5.65607e-05,5.65607e-05
55,8743.69,0.89271,0.7472,1.04105,0.87168,0.8143,0.88162,0.71489,0.77667,0.5728,0.95244,5.53826e-05,5.53826e-05,5.53826e-05
56,8899.97,0.88956,0.77502,1.06604,0.89806,0.79862,0.88274,0.71664,0.77112,0.56895,0.95007,5.42045e-05,5.42045e-05,5.42045e-05
57,9064.89,0.86441,0.75083,1.04647,0.89357,0.79685,0.87771,0.72049,0.76645,0.56513,0.94906,5.30264e-05,5.30264e-05,5.30264e-05
58,9211.53,0.91391,0.77129,1.06109,0.89594,0.79853,0.87827,0.72288,0.76329,0.56154,0.94728,5.18483e-05,5.18483e-05,5.18483e-05
59,9374.49,0.91092,0.73899,1.04181,0.88527,0.81129,0.88024,0.72232,0.76121,0.55758,0.94604,5.06702e-05,5.06702e-05,5.06702e-05
60,9527.98,0.90517,0.77874,1.0536,0.87968,0.82072,0.88182,0.72457,0.76082,0.55535,0.94575,4.94921e-05,4.94921e-05,4.94921e-05
61,9678.18,0.83974,0.70854,1.03268,0.86591,0.83307,0.88674,0.72423,0.76015,0.55537,0.94524,4.8314e-05,4.8314e-05,4.8314e-05
62,9835.02,0.87694,0.73903,1.04725,0.88431,0.82638,0.88744,0.72629,0.75733,0.55384,0.94403,4.71359e-05,4.71359e-05,4.71359e-05
63,9981.96,0.88063,0.69241,1.03187,0.88644,0.8277,0.89107,0.72737,0.7533,0.55439,0.94282,4.59578e-05,4.59578e-05,4.59578e-05
64,10128,0.90678,0.72189,1.02738,0.87014,0.83551,0.88739,0.72555,0.75162,0.55419,0.94244,4.47797e-05,4.47797e-05,4.47797e-05
